Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
TLDR4400;3 mm;Red;;648;;25;45;;20;;;;;1.8;2.2;40;Standard;83001;leds\TLDR4400\TLDR4400.pdf;
TLDR4900;3 mm;Red;;648;;63;200;;20;;;;;1.8;2.2;16;Standard;83002;leds\TLDR4900\TLDR4900.pdf;
TLDR4901;3 mm;Red;;648;;63;;200;20;;;;;1.8;2.2;16;Standard;83002;leds\TLDR4901\TLDR4901.pdf;
TLDR5400;5 mm;Red;;648;;35;70;;20;;;;;1.8;2.2;30;Standard;83003;leds\TLDR5400\TLDR5400.pdf;
TLDR5800;5 mm;Red;;648;;1000;2500;;20;;;;;1.8;2.2;4;Standard;83004;leds\TLDR5800\TLDR5800.pdf;
TLDR6400;5 mm;Red;;648;;35;70;;20;;;;;1.8;2.2;30;Standard;81155;leds\TLDR6400\TLDR6400.pdf;
TLDR6800;5 mm;Red;;648;;1000;2500;;20;;;;;1.8;2.2;4;Standard;81156;leds\TLDR6800\TLDR6800.pdf;
TLHA44R1S2;3 mm;Amber;612;617;625;112;;280;20;;;;;2;2.6;30;Standard;83376;leds\TLHA44R1S2\TLHA44R1S2.pdf;
TLHE44R1S2-26;3 mm;Yellow;583;588;594;112;;280;20;;;;;1.9;2.6;30;Standard;83375;leds\TLHE44R1S2-26\TLHE44R1S2-26.pdf;
TLHE4600;3 mm;Yellow;581;588;594;10;26;;10;;;;;1.9;2.6;60;Standard;83130;leds\TLHE4600\TLHE4600.pdf;
TLHE5800;5 mm;Yellow;581;588;594;1000;3500;;20;;;;;2;2.6;4;Standard;83024;leds\TLHE5800\TLHE5800.pdf;
TLHF4600;3 mm;Soft orange;598;605;611;10;26;;10;;;;;2.0;2.6;60;Standard;83134;leds\TLHF4600\TLHF4600.pdf;
TLHF4601;3 mm;Soft orange;602;;609;40;;125;10;;;;;2.0;2.6;60;Standard;83134;leds\TLHF4601\TLHF4601.pdf;
TLHF4900;3 mm;Soft orange;598;605;611;63;300;;10;;;;;1.9;2.6;16;Standard;83025;leds\TLHF4900\TLHF4900.pdf;
TLHG4200;3 mm;Green;562;;575;6.3;10;;10;;;;;2.4;3;22;Standard;83005;leds\TLHG4200\TLHG4200.pdf;
TLHG4201;3 mm;Green;562;;575;10;15;;10;;;;;2.4;3;22;Standard;83005;leds\TLHG4201\TLHG4201.pdf;
TLHG4205;3 mm;Green;562;;575;16;20;;10;;;;;2.4;3;22;Standard;83005;leds\TLHG4205\TLHG4205.pdf;
TLHG4400;3 mm;Green;562;;575;2.5;13;;10;;;;;2.4;3;30;Standard;83006;leds\TLHG4400\TLHG4400.pdf;
TLHG4401;3 mm;Green;562;;575;4;14;;10;;;;;2.4;3;30;Standard;83006;leds\TLHG4401\TLHG4401.pdf;
TLHG4405;3 mm;Green;562;;575;6.3;15;;10;;;;;2.4;3;30;Standard;83006;leds\TLHG4405\TLHG4405.pdf;
TLHG44K1M2;3 mm;Green;562;;575;;;;;;;;;2.1;2.6;30;Standard;80319;leds\TLHG44K1M2\TLHG44K1M2.pdf;
TLHG4600;3 mm;Green;562;;575;1;4;;10;;;;;2.4;3;60;Standard;83007;leds\TLHG4600\TLHG4600.pdf;
TLHG4605;3 mm;Green;562;;575;4;6;;10;;;;;2.4;3;60;Standard;83007;leds\TLHG4605\TLHG4605.pdf;
TLHG4900;3 mm;Green;562;;575;16;37;;10;;;;;2.4;3;16;Standard;83009;leds\TLHG4900\TLHG4900.pdf;
TLHG5420;5 mm;Green;562;570;575;6.3;20;;10;;;;;2.1;2.4;25;Standard;86335;leds\TLHG5420\TLHG5420.pdf;
TLHG5420-KSZ;5 mm;Green;562;570;575;6.3;20;;10;;;;;2.1;2.4;25;Standard;86335;leds\TLHG5420-KSZ\TLHG5420-KSZ.pdf;
TLHG6420;5 mm;Green;562;570;575;6.3;20;;10;;;;;2.1;2.4;25;Standard;86335;leds\TLHG6420\TLHG6420.pdf;
TLHG6420-CSZ;5 mm;Green;562;570;575;6.3;20;;10;;;;;2.1;2.4;25;Standard;86335;leds\TLHG6420-CSZ\TLHG6420-CSZ.pdf;
TLHK4200;3 mm;Red;;630;;25;100;;10;;;;;1.9;2.6;22;Standard;83059;leds\TLHK4200\TLHK4200.pdf;
TLHK42S1T2;3 mm;Red;;630;;180;;450;20;;;;;1.9;2.6;22;Standard;83437;leds\TLHK42S1T2\TLHK42S1T2.pdf;
TLHK4400L;3 mm;Red;626;630;639;16;70;;10;;;;;1.9;2.6;30;Standard;84180;leds\TLHK4400L\TLHK4400L.pdf;
TLHK44R1S2;3 mm;Red;;630;;112;180;280;20;;;;;1.9;2.6;30;Standard;83438;leds\TLHK44R1S2\TLHK44R1S2.pdf;
TLHK4600;3 mm;Red;;630;;6.3;15;;10;;;;;1.9;2.6;60;Standard;83102;leds\TLHK4600\TLHK4600.pdf;
TLHK46Q1R2;3 mm;Red;;630;;71;;180;20;;;;;2.0;2.6;60;Standard;83494;leds\TLHK46Q1R2\TLHK46Q1R2.pdf;
TLHK5100;5 mm;Red;626;630;639;320;1400;;20;;;;;2;2.6;9;Standard;83010;leds\TLHK5100\TLHK5100.pdf;
TLHK5800;5 mm;Red;;630;;1000;5500;;20;;;;;1.9;2.6;4;Standard;83028;leds\TLHK5800\TLHK5800.pdf;
TLHO4200;3 mm;Soft orange;598;;611;4;10;;10;;;;;2.4;3;22;Standard;83005;leds\TLHO4200\TLHO4200.pdf;
TLHO4201;3 mm;Soft orange;598;;611;10;18;;10;;;;;2.4;3;22;Standard;83005;leds\TLHO4201\TLHO4201.pdf;
TLHO4400;3 mm;Soft orange;598;;611;1.6;13;;10;;;;;2.4;3;30;Standard;83006;leds\TLHO4400\TLHO4400.pdf;
TLHR4200;3 mm;Red;612;;625;4;8;;10;;;;;2;3;22;Standard;83005;leds\TLHR4200\TLHR4200.pdf;
TLHR4205;3 mm;Red;612;;625;10;15;;10;;;;;2;3;22;Standard;83005;leds\TLHR4205\TLHR4205.pdf;
TLHR4400;3 mm;Red;612;;625;1.6;13;;10;;;;;2;3;30;Standard;83006;leds\TLHR4400\TLHR4400.pdf;
TLHR4401;3 mm;Red;612;;625;2.5;14;;10;;;;;2;3;30;Standard;83006;leds\TLHR4401\TLHR4401.pdf;
TLHR4405;3 mm;Red;612;;625;6.3;15;;10;;;;;2;3;30;Standard;83006;leds\TLHR4405\TLHR4405.pdf;
TLHR4600;3 mm;Red;612;;625;1;4;;10;;;;;2;3;60;Standard;83007;leds\TLHR4600\TLHR4600.pdf;
TLHR4605;3 mm;Red;612;;625;2.5;6;;10;;;;;2;3;60;Standard;83007;leds\TLHR4605\TLHR4605.pdf;
TLHR4900;3 mm;Red;612;;625;6.3;25;;10;;;;;2;3;16;Standard;83009;leds\TLHR4900\TLHR4900.pdf;
TLHR5200;5 mm;Red;612;;630;10;50;;10;;;;;2;3;14;Standard;83011;leds\TLHR5200\TLHR5200.pdf;
TLHR5400;5 mm;Red;612;;630;1.6;10;;10;;;;;2;3;30;Standard;83012;leds\TLHR5400\TLHR5400.pdf;
TLHR5401;5 mm;Red;612;;630;4;12;;10;;;;;2;3;30;Standard;83012;leds\TLHR5401\TLHR5401.pdf;
TLHR5405;5 mm;Red;612;;630;6.3;14;;10;;;;;2;3;30;Standard;83012;leds\TLHR5405\TLHR5405.pdf;
TLHR5405-KS21;5 mm;Red;612;;630;6.3;14;;10;;;;;2;3;30;Standard;83012;leds\TLHR5405-KS21\TLHR5405-KS21.pdf;
TLHR5405-KSZ;5 mm;Red;612;;630;6.3;14;;10;;;;;2;3;30;Standard;83012;leds\TLHR5405-KSZ\TLHR5405-KSZ.pdf;
TLHR6400;5 mm;Red;612;;630;1.6;10;;10;;;;;2;3;30;Standard;83219;leds\TLHR6400\TLHR6400.pdf;
TLHR6401;5 mm;Red;612;;630;4;12;;10;;;;;2;3;30;Standard;83219;leds\TLHR6401\TLHR6401.pdf;
TLHR6405;5 mm;Red;612;;630;6.3;14;;10;;;;;2;3;30;Standard;83219;leds\TLHR6405\TLHR6405.pdf;
TLHY4200;3 mm;Yellow;581;;594;4;10;;10;;;;;2.4;3;22;Standard;83005;leds\TLHY4200\TLHY4200.pdf;
TLHY4205;3 mm;Yellow;581;;594;10;20;;10;;;;;2.4;3;22;Standard;83005;leds\TLHY4205\TLHY4205.pdf;
TLHY4400;3 mm;Yellow;581;;594;1.6;10;;10;;;;;2.4;3;30;Standard;83006;leds\TLHY4400\TLHY4400.pdf;
TLHY4401;3 mm;Yellow;581;;594;2.5;10.5;;10;;;;;2.4;3;30;Standard;83006;leds\TLHY4401\TLHY4401.pdf;
TLHY4405;3 mm;Yellow;581;;594;6.3;11;;10;;;;;2.4;3;30;Standard;83006;leds\TLHY4405\TLHY4405.pdf;
TLHY4600;3 mm;Yellow;581;;594;0.63;3.5;;10;;;;;2.4;3;60;Standard;83007;leds\TLHY4600\TLHY4600.pdf;
TLHY4605;3 mm;Yellow;581;;594;2.5;5;;10;;;;;2.4;3;60;Standard;83007;leds\TLHY4605\TLHY4605.pdf;
TLHY5400;5 mm;Yellow;581;;594;1.6;10;;10;;;;;2.4;3;30;Standard;83012;leds\TLHY5400\TLHY5400.pdf;
TLHY5401;5 mm;Yellow;581;;594;4;12;;10;;;;;2.4;3;30;Standard;83012;leds\TLHY5401\TLHY5401.pdf;
TLHY5405;5 mm;Yellow;581;;594;6.3;14;;10;;;;;2.4;3;30;Standard;83012;leds\TLHY5405\TLHY5405.pdf;
TLHY6400;5 mm;Yellow;581;;594;1.6;10;;10;;;;;2.4;3;30;Standard;83219;leds\TLHY6400\TLHY6400.pdf;
TLHY6405;5 mm;Yellow;581;;594;6.3;14;;10;;;;;2.4;3;30;Standard;83219;leds\TLHY6405\TLHY6405.pdf;
TLMG1100;SMD 0603;Green;564;570;575;12.5;35;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMG1100\TLMG1100.pdf;
TLMO1100;SMD 0603;Orange;600;606;609;50;80;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMO1100\TLMO1100.pdf;
TLMP1100;SMD 0603;Pure green;551;561;566;6.3;15;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMP1100\TLMP1100.pdf;
TLMS1100;SMD 0603;Red;627;633;639;32;63;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMS1100\TLMS1100.pdf;
TLMS1101;SMD 0603;Red;627;633;639;50;;125;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMS1101\TLMS1101.pdf;
TLMY1100;SMD 0603;Yellow;580;589;595;50;80;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMY1100\TLMY1100.pdf;
TLUG2400;1.8 mm (miniplast);Green;562;568;575;1.6;10;;10;;;;;2.4;3;20;Standard;83053;leds\TLUG2400\TLUG2400.pdf;
TLUG2401;1.8 mm (miniplast);Green;562;568;575;4;12;20;10;;;;;2.4;3;20;Standard;83053;leds\TLUG2401\TLUG2401.pdf;
TLUO2401;1.8 mm (miniplast);Red;612;618;625;4;10;20;10;;;;;2;3;20;Standard;83053;leds\TLUO2401\TLUO2401.pdf;
TLUR2400;1.8 mm (miniplast);Red;;630;;4;15;;10;;;;;2;3;20;Standard;83288;leds\TLUR2400\TLUR2400.pdf;
TLUR2401;1.8 mm (miniplast);Red;;630;;4;;32;10;;;;;2;3;20;Standard;83288;leds\TLUR2401\TLUR2401.pdf;
TLUR4400;3 mm;Red;;630;;4;15;;10;;;;;2;3;30;Standard;83054;leds\TLUR4400\TLUR4400.pdf;
TLUR4401;3 mm;Red;;630;;4;;32;10;;;;;2;3;30;Standard;83054;leds\TLUR4401\TLUR4401.pdf;
TLUR5400;5 mm;Red;;630;;4;15;;10;;;;;2;3;30;Standard;83055;leds\TLUR5400\TLUR5400.pdf;
TLUR5401;5 mm;Red;;630;;4;15;32;10;;;;;2;3;30;Standard;83055;leds\TLUR5401\TLUR5401.pdf;
TLUY2400;1.8 mm (miniplast);Yellow;581;586;594;1;8;;10;;;;;2.4;3;20;Standard;83053;leds\TLUY2400\TLUY2400.pdf;
TLUY2401;1.8 mm (miniplast);Yellow;581;586;594;2.5;6;12.5;10;;;;;2.4;3;20;Standard;83053;leds\TLUY2401\TLUY2401.pdf;
TLVD4200;3 mm backlighting;Red;;640;;;;;;40;130;;15;1.8;2.2;85;Standard;83058;leds\TLVD4200\TLVD4200.pdf;
TLVG4200;3 mm backlighting;Green;562;;575;;;;;10;30;;15;2.4;3;85;Standard;83057;leds\TLVG4200\TLVG4200.pdf;
TLVY4200;3 mm backlighting;Yellow;581;;594;;;;;10;30;;15;2.4;3;85;Standard;83057;leds\TLVY4200\TLVY4200.pdf;
TLVY42N1P2-34;3 mm backlighting;Yellow;585;;590;;;;;28;;71;15;2.4;3;85;Standard;83392;leds\TLVY42N1P2-34\TLVY42N1P2-34.pdf;
TLWR7600;TELUX;Red;611;618;634;;;;;1500;2800;;70;2.2;2.67;30;Standard;83138;leds\TLWR7600\TLWR7600.pdf;
TLWR7900;TELUX;Red;611;618;634;;;;;1500;2800;;70;2.2;2.67;45;Standard;83144;leds\TLWR7900\TLWR7900.pdf;
TLWY7600;TELUX;Yellow;585;592;597;;;;;1000;2800;;70;2.1;2.67;30;Standard;83138;leds\TLWY7600\TLWY7600.pdf;
TLWY7900;TELUX;Yellow;585;592;597;;;;;1000;2800;;70;2.1;2.67;45;Standard;83144;leds\TLWY7900\TLWY7900.pdf;
VLHW5100;5 mm;White;;0.33, 0.33;;5600;;11200;20;;;;;;3.6;10;Standard;81159;leds\VLHW5100\VLHW5100.pdf;
VLMB1300;SMD 0603 ChipLED;Blue;465;;475;28;;180;20;;;;;;3.8;65;Standard;82437;leds\VLMB1300\VLMB1300.pdf;
VLMB1302;SMD 0603 ChipLED;Blue;465;;475;45;;112;20;;;;;;3.8;65;Standard;82437;leds\VLMB1302\VLMB1302.pdf;
VLMB1310;SMD 0603 ChipLED;Blue;465;;475;28;;180;20;;;;;;3.8;65;Standard;82437;leds\VLMB1310\VLMB1310.pdf;
VLMB1500;SMD 0402 ChipLED;Blue;470;472;475;11.2;28;45;5;;;;;2.80;3.15;65;Standard;82554;leds\VLMB1500\VLMB1500.pdf;
VLMB1501;SMD 0402 ChipLED;Blue;470;472;475;22.4;28;71;5;;;;;2.80;3.15;65;Standard;82554;leds\VLMB1501\VLMB1501.pdf;
VLMB2332T1U2;SMD MiniLED;Blue;458;465;472;280;440;710;20;;;;;2.9;3.4;60;Standard;80264;leds\VLMB2332T1U2\VLMB2332T1U2.pdf;
VLMB41P1Q2;SMD PLCC-2;Blue;462;469;476;45;90;112;10;;;;;3.2;4.2;60;Standard;81641;leds\VLMB41P1Q2\VLMB41P1Q2.pdf;
VLMB41P2Q2;SMD PLCC-2;Blue;462;469;476;56;90;112;10;;;;;3.2;4.2;60;Standard;81641;leds\VLMB41P2Q2\VLMB41P2Q2.pdf;
VLMD3100;SMD PLCC-2;Red;;648;;11.2;22;;10;;;;;1.8;2.2;60;Standard;81351;leds\VLMD3100\VLMD3100.pdf;
VLMD3105;SMD PLCC-2;Red;;648;;11.2;22;28;10;;;;;1.8;2.2;60;Standard;81351;leds\VLMD3105\VLMD3105.pdf;
VLMD31L2N1;SMD PLCC-2;Red;;648;;14;22;35.5;10;;;;;1.8;2.2;60;Standard;81351;leds\VLMD31L2N1\VLMD31L2N1.pdf;
VLMD31M2P1;SMD PLCC-2;Red;;648;;22.4;25;56;10;;;;;1.8;2.2;60;Standard;81351;leds\VLMD31M2P1\VLMD31M2P1.pdf;
VLME3100;SMD PLCC-2;Yellow;581;588;594;28;75;;10;;;;;2.0;2.6;60;Standard;81231;leds\VLME3100\VLME3100.pdf;
VLME31Q2T1;SMD PLCC-2;Yellow;581;588;594;90;190;355;20;;;;;2.0;2.6;60;Standard;81324;leds\VLME31Q2T1\VLME31Q2T1.pdf;
VLME31R1S2;SMD PLCC-2;Yellow;581;588;594;112;195;280;20;;;;;2.0;2.6;60;Standard;81324;leds\VLME31R1S2\VLME31R1S2.pdf;
VLME31S1T1;SMD PLCC-2;Yellow;581;588;594;180;210;355;20;;;;;2.0;2.6;60;Standard;81324;leds\VLME31S1T1\VLME31S1T1.pdf;
VLMF3100;SMD PLCC-2;Soft orange;598;605;611;28;90;;10;;;;;2.0;2.6;60;Standard;81235;leds\VLMF3100\VLMF3100.pdf;
VLMF31Q2T1;SMD PLCC-2;Soft orange;598;605;611;90;200;355;20;;;;;2.0;2.6;60;Standard;81330;leds\VLMF31Q2T1\VLMF31Q2T1.pdf;
VLMG1300;SMD 0603 ChipLED;Yellow green;;571;;18;35;;20;;;;;2.0;2.4;65;Standard;82437;leds\VLMG1300\VLMG1300.pdf;
