Part Number;Status;Description;Type;VinMin.(V);VinMax.(V);Package;PackageSize(W,L,H)(mm);Image path;Datasheet part;3d model part
SIC431;Active;24A,3V to 24V in,up to 1MHz,Synch. Buck Regulator;microBUCK (Step Down Regulator);3;24;PowerPak MLP 44-24L;4.0 x 4.0 x 0.75;74589;Datasheet/power-ics/SIC431\SIC431.pdf;Datasheet/power-ics/SIC431\SIC431.zip
SiC437A;New;12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/SiC437A\SiC437A.pdf;Datasheet/power-ics/SiC437A\SiC437A.zip
SiC437B;New;12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/SiC437B\SiC437B.pdf;Datasheet/power-ics/SiC437B\SiC437B.zip
SiC437C;New;12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/SiC437C\SiC437C.pdf;Datasheet/power-ics/SiC437C\SiC437C.zip
SiC437D;New;12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/SiC437D\SiC437D.pdf;Datasheet/power-ics/SiC437D\SiC437D.zip
SiC438A;Active;8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/SiC438A\SiC438A.pdf;Datasheet/power-ics/SiC438A\SiC438A.zip
SiC438B;Active;8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/SiC438B\SiC438B.pdf;Datasheet/power-ics/SiC438B\SiC438B.zip
SiC438C;Active;8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/SiC438C\SiC438C.pdf;Datasheet/power-ics/SiC438C\SiC438C.zip
SiC438D;Active;8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/SiC438D\SiC438D.pdf;Datasheet/power-ics/SiC438D\SiC438D.zip
SiC448;New;6 A, 4.5 V to 45 V input, 100 kHz to 2 MHz, synchronous buck regulator;microBUCK (step down regulator);4.5;45;PowerPAK MLP55-27L;5 x 5 x 0.75;77185;Datasheet/power-ics/SiC448\SiC448.pdf;None
SiC461;Active;10 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/SiC461\SiC461.pdf;Datasheet/power-ics/SiC461\SiC461.zip
SiC462;Active;6 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/SiC462\SiC462.pdf;Datasheet/power-ics/SiC462\SiC462.zip
SiC463;Active;4 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/SiC463\SiC463.pdf;Datasheet/power-ics/SiC463\SiC463.zip
SiC464;Active;2 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/SiC464\SiC464.pdf;Datasheet/power-ics/SiC464\SiC464.zip
SiC466;New;10 A, 4.5 V to 60 V input,100 kHz to 2 MHz,synchronous microBUCKregulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/SiC466\SiC466.pdf;Datasheet/power-ics/SiC466\SiC466.zip
SiC467;New;6 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/SiC467\SiC467.pdf;Datasheet/power-ics/SiC467\SiC467.zip
SiC468;New;4 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/SiC468\SiC468.pdf;Datasheet/power-ics/SiC468\SiC468.zip
SiC469;New;2 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/SiC469\SiC469.pdf;Datasheet/power-ics/SiC469\SiC469.zip
SiC471;New;12 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/SiC471\SiC471.pdf;Datasheet/power-ics/SiC471\SiC471.zip
SiC472;New;8 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/SiC472\SiC472.pdf;Datasheet/power-ics/SiC472\SiC472.zip
SiC473;New;5 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/SiC473\SiC473.pdf;Datasheet/power-ics/SiC473\SiC473.zip
SiC474;New;3 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/SiC474\SiC474.pdf;Datasheet/power-ics/SiC474\SiC474.zip
SiC476;New;12 A, 4.5 V to 55 V input,100 kHz to 2 MHz,synchronous microBUCKregulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/SiC476\SiC476.pdf;Datasheet/power-ics/SiC476\SiC476.zip
SiC477;New;8 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/SiC477\SiC477.pdf;Datasheet/power-ics/SiC477\SiC477.zip
SiC478;New;5 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/SiC478\SiC478.pdf;Datasheet/power-ics/SiC478\SiC478.zip
SiC479;New;3 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/SiC479\SiC479.pdf;Datasheet/power-ics/SiC479\SiC479.zip
SiC931;New;4.5 V to 18 V input, 20 A microBRICK® DC/DC regulator module;microBRICK® (step down regulator);4.5;18;PowerPAK MLP60-A6C;10.6 x 6.5 x 3;79602;Datasheet/power-ics/SiC931\SiC931.pdf;Datasheet/power-ics/SiC931\SiC931.zip
SiC967;New;4.5 V to 60 V input, 6 A, microBRICK® DC/DC regulator module;microBRICK® (step down regulator)?;4.5;60;PowerPAK MLP54-A6C;10.6 x 6.5 x 3;76444;Datasheet/power-ics/SiC967\SiC967.pdf;None
SiP12109;Active;4 A, 4.5 V to 15 V input, 1.5 MHz synchronous buck regulator;microBUCK (step down regulator);4.5;15;QFN16-33G;3.0 x 3.0 x 0.8;62694;Datasheet/power-ics/SiP12109\SiP12109.pdf;None
SiP2100;Active;5 V, 1 A H-Bridge Motor Driver;Motor Drive;3.8;5.5;SOIC-8;5.0 x 6.0 x 1.5;63949;Datasheet/power-ics/SiP2100\SiP2100.pdf;None
SiP31001;Active;Battery Monitor and Protective Discharge IC;Battery and Protection;2.3;5.5;WCSP9;1.25 x 1.25 x 0.6;75408;Datasheet/power-ics/SiP31001\SiP31001.pdf;None
SiP32101;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low with internal pull-down resistor;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/SiP32101\SiP32101.pdf;None
SiP32102;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active high with internal pull-down resistor;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/SiP32102\SiP32102.pdf;None
SiP32103;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low with internal pull-up resistor;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/SiP32103\SiP32103.pdf;None
SiP32104;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/SiP32104\SiP32104.pdf;None
SiP32205;Active;Precision Threshold Logic Gate Switch;Precision Logic Switch;2;5;WCSP6;0.8 x 1.2 x 0.5;75414;Datasheet/power-ics/SiP32205\SiP32205.pdf;None
SiP32408;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/SiP32408\SiP32408.pdf;None
SiP32409;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation, output discharge;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/SiP32409\SiP32409.pdf;None
SiP32411;Active;1.1 V to 5 V, 62 mΩ, 150 μs rise time, output discharge;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;66710;Datasheet/power-ics/SiP32411\SiP32411.pdf;None
SiP32411;Active;1.1 V to 5 V, 101 mΩ, 150 μs rise time, output discharge;Slew rate;1.1;5.5;SC-70-6;2.0 x 2.0 x 0.5;66710;Datasheet/power-ics/SiP32411\SiP32411.pdf;None
SiP32413;Active;Dual switch, 1.1 V to 5.5 V, 150 μs rise time, reversed EN logic;Slew rate;1.1;5.5;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/SiP32413\SiP32413.pdf;None
SiP32414;Active;1.1 V to 5.5 V, 150 μs rise time, output discharge;Slew rate;1.1;5.5;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/SiP32414\SiP32414.pdf;None
SiP32416;Active;1.1 V to 5.5 V, 2.5 ms rise time, output discharge;Slew rate;1.1;5.5;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/SiP32416\SiP32416.pdf;None
SiP32419;Active;6 V to 28 V, 56 mΩ, programmable current limit and slew rate, latch-off on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;63939;Datasheet/power-ics/SiP32419\SiP32419.pdf;None
SiP32429;Active;6 V to 28 V, 56 mΩ, programmable current limit and slew rate, auto-retry on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;63939;Datasheet/power-ics/SiP32429\SiP32429.pdf;None
SiP32430;Active;6 V to 28 V, 99 mΩ, programmable current limit and slew rate, auto retry on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;65223;Datasheet/power-ics/SiP32430\SiP32430.pdf;None
SiP32431DN;Active;1.5 V to 5.5 V, 105 mΩ, 10 pA IQ, bidirectional off isolation, EN active high;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;66597;Datasheet/power-ics/SiP32431DN\SiP32431DN.pdf;None
SiP32431DR;Active;1.5 V to 5.5 V, 147 mΩ, 10 pA IQ, bidirectional off isolation, EN active high;Slew rate;1.5;5.5;SC-70-6;2.0 x 2.0 x 0.5;66597;Datasheet/power-ics/SiP32431DR\SiP32431DR.pdf;None
SiP32432DN;Active;1.5 V to 5.5 V, 105 mΩ, 10 pA IQ, bidirectional off isolation, EN active low;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;66597;Datasheet/power-ics/SiP32432DN\SiP32432DN.pdf;None
SiP32432DR;Active;1.5 V to 5.5 V, 147 mΩ, 10 pA IQ, bidirectional off isolation, EN active low;Slew rate;1.5;5.5;SC-70-6;2.0 x 2.0 x 0.5;66597;Datasheet/power-ics/SiP32432DR\SiP32432DR.pdf;None
SiP32433A;Active;3.5 A, 78 mΩ, 2.8 V to 23 V, programmable OVP and current limit, active reverse blocking, latch-off on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63175;Datasheet/power-ics/SiP32433A\SiP32433A.pdf;None
SiP32433B;Active;3.5 A, 78 mΩ, 2.8 V to 23 V, programmable OVP and current limit, active reverse blocking, auto retry on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63175;Datasheet/power-ics/SiP32433B\SiP32433B.pdf;None
SIP32434A;Active;6 A, 33 mΩ, 2.8 V to 23 V, programmable OVP and current limit, latch-off on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63147;Datasheet/power-ics/SIP32434A\SIP32434A.pdf;None
SIP32434B;Active;6 A, 33 mΩ, 2.8 V to 23 V,programmable OVP and current limit, auto retry on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63147;Datasheet/power-ics/SIP32434B\SIP32434B.pdf;None
SiP32451;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on / off, output discharge;Slew rate;0.9;2.5;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/SiP32451\SiP32451.pdf;None
SiP32452;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on / off;Slew rate;0.9;2.5;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/SiP32452\SiP32452.pdf;None
SiP32453;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on and 98 µs turn off delay;Slew rate;0.9;2.5;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/SiP32453\SiP32453.pdf;None
SiP32454;Active;0.8 V to 2.5 V, 28 mΩ, 1.5 ms rise time, output discharge;Slew rate;0.8;2.5;WCSP4;0.8 x 0.8 x 0.5;62531;Datasheet/power-ics/SiP32454\SiP32454.pdf;None
SiP32455;Active;0.8 V to 2.5 V, 28 mΩ, 1.5 ms rise time;Slew rate;0.8;2.5;WCSP4;0.8 x 0.8 x 0.5;62531;Datasheet/power-ics/SiP32455\SiP32455.pdf;None
SiP32458;Active;1.5 V to 5.5 V, 20 mΩ, bidirectional off isolation;Slew rate;1.5;5.5;WCSP6;1.0 x 1.5 x 0.5;63999;Datasheet/power-ics/SiP32458\SiP32458.pdf;None
SiP32459;Active;1.5 V to 5.5 V, 20 mΩ, output discharge;Slew rate;1.5;5.5;WCSP6;1.0 x 1.5 x 0.5;63999;Datasheet/power-ics/SiP32459\SiP32459.pdf;None
SiP32460;Active;1.2 V to 5.5 V, 50 mΩ, 200 µs rise time, bidirectional off isolation;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/SiP32460\SiP32460.pdf;None
SiP32461;Active;1.2 V to 5.5 V, 50 mΩ, 200 µs rise time, bidirectional off isolation, output discharge;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/SiP32461\SiP32461.pdf;None
SiP32462;Active;1.2 V to 5.5 V, 50 mΩ, 7.5 µs rise time, bidirectional off isolation;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/SiP32462\SiP32462.pdf;None
SiP32467;Active;1.2 V to 5.5 V, 50 mΩ, EN active low, bidirectional off isolation;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67757;Datasheet/power-ics/SiP32467\SiP32467.pdf;None
SiP32468;Active;1.2 V to 5.5 V, 50 mΩ, EN active low, bidirectional off isolation, output discharge;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67757;Datasheet/power-ics/SiP32468\SiP32468.pdf;None
SiP32475;Active;1.2 V to 5.5 V, 47 mΩ, 200 µs rise time, bidirectional off isolation, output discharge;Slew rate;1.2;5.5;µDFN-4L;1.0 x 1.0 x 0.35;75792;Datasheet/power-ics/SiP32475\SiP32475.pdf;None
SiP32481DB;;7 V (D-S), N-Channel Switch in WCSP3;Slew Rate;0.8;6;WCSP;0.96 x 0.96 x 0.27;75939;Datasheet/power-ics/SiP32481DB\SiP32481DB.pdf;None
SiP32501;Active;0.9 V to 2.5 V, 66 mΩ, 9.8 µs rise time, load switch;Slew rate;0.9;2.5;TDFN4;1.2 x 1.6 x 0.5;75595;Datasheet/power-ics/SiP32501\SiP32501.pdf;None
SiP32508;Active;1.1 V to 5.5 V, 44 mΩ, 2.5 ms rise time, bidirectional off isolation;Slew rate;1.1;5.5;TSOT23-6;3.0 x 2.9 x 1.0;62754;Datasheet/power-ics/SiP32508\SiP32508.pdf;None
SiP32509;Active;1.1 V to 5.5 V, 44 mΩ, 2.5 ms rise time, bidirectional off isolation, output discharge;Slew rate;1.1;5.5;TSOT23-6;3.0 x 2.9 x 1.0;62754;Datasheet/power-ics/SiP32509\SiP32509.pdf;None
SiP32510;Active;1.2 V to 5.5 V, 44 mΩ, 1.6 ms rise time with bidirectional off isolation, output discharge;Slew rate;1.2;5.5;TSOT23-6;3.0 x 2.9 x 1.0;63577;Datasheet/power-ics/SiP32510\SiP32510.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Slew rate;1.8;5.5;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282\SiP4282.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Slew rate;1.8;5.5;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282\SiP4282.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282A\SiP4282A.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Slew rate;1.5;5.5;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282A\SiP4282A.pdf;None
