Part Number;Status;Description;Configuration;Slew Rate Time(µs);On Delay Time(µs);VINMin.(V);VINMax.(V);RDS(on)at VINMin.(mΩ);RDS(on)at VINMax.(mΩ);IQat VINMin.(µA);IQat VINMax.(µA);Output Discharge(Y / N);Reverse Blocking(Y / N);Cont. Current(A);Package;Package Size(W, L, H)(mm);Image path;Datasheet part;3d model part
SiC32201;New;0.45 mO, integrated OR-ing switch with OR-ing controller, lossless current sense, and temperature report;Parallelable;-;-;9;18;0;0.45;0;1800;No;Yes;100;PowerPAK® MLP66-40L;6.0 x 6.0 x 0.75;77592;Datasheet/power-ics/SiC32201\SiC32201.pdf;None
SiC32201;New;0.45 mO, integrated OR-ing switch with OR-ing controller, lossless current sense, and temperature report;Parallelable;-;-;9;18;0;0.45;0;1800;No;Yes;100;PowerPAK® MLP66-40L;6.0 x 6.0 x 0.75;78907;Datasheet/power-ics/SiC32201\SiC32201.pdf;None
SiC32301;;0.6 mΩ, hot-swap eFuse, IMON, PGD, D_OC report latch on fault;Parallable;Adjustable;1000;4.5;25;0.6000000238418579;0.6;2100;2800;Yes;No;60;MLP55-32;5 x 5 x 0.8;63094;Datasheet/power-ics/SiC32301\SiC32301.pdf;None
SiC32302;;0.6 mΩ, hot-swap eFuse, IMON, PGD, D_OC report latch on fault;Parallable;Adjustable;1000;4.5;25;0.6000000238418579;0.6;2100;2800;Yes;No;50;MLP55-32;5 x 5 x 0.8;63094;Datasheet/power-ics/SiC32302\SiC32302.pdf;None
SiC32303;;0.6 mΩ, hot-swap eFuse, IMON, PGD, D_OC report latch on fault;Parallable;Adjustable;1000;4.5;25;0.6000000238418579;0.6;2100;2800;Yes;No;60;MLP55-32;5 x 5 x 0.8;63094;Datasheet/power-ics/SiC32303\SiC32303.pdf;None
SiC32304;;0.6 mΩ, hot-swap eFuse, IMON, PGD, D_OC report latch on fault;Parallable;Adjustable;1000;4.5;25;0.6000000238418579;0.6;2100;2800;Yes;No;50;MLP55-32;5 x 5 x 0.8;63094;Datasheet/power-ics/SiC32304\SiC32304.pdf;None
SiC32309;;0.6 mΩ, hot-swap eFuse, IMON, GOK, D_OC report latch on fault;Parallable;Adjustable;1000;4.5;25;0.6000000238418579;0.6;2100;2800;Yes;No;60;PowerPAK MLP32-55;5 x 5 x 1;62376;Datasheet/power-ics/SiC32309\SiC32309.pdf;None
SiC32311;;0.6 mΩ, hot-swap eFuse, IMON, GOK, D_OC report latch on fault;Parallable;Adjustable;1000;4.5;25;0.6000000238418579;0.6;2100;2800;Yes;No;60;PowerPAK MLP32-55;5 x 5 x 1;61531;Datasheet/power-ics/SiC32311\SiC32311.pdf;None
SiP32101;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low with internal pull-down resistor;Single;1 000;500;2.3;5.5;8;5.1;0.11;0.14;No;Yes;7;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/SiP32101\SiP32101.pdf;None
SiP32102;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active high with internal pull-down resistor;Single;1 000;500;2.3;5.5;8;5.1;0.11;0.14;No;Yes;7;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/SiP32102\SiP32102.pdf;None
SiP32103;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low with internal pull-up resistor;Single;1 000;800;2.3;5.5;8;5.1;4;8.2;No;Yes;7;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/SiP32103\SiP32103.pdf;None
SiP32104;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low;Single;1 000;800;2.3;5.5;8;5.1;0.11;0.14;No;Yes;7;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/SiP32104\SiP32104.pdf;None
SiP32408;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation;Single;2500;1800;1.1;5.5;45;42;10.5;105;No;Yes;3.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/SiP32408\SiP32408.pdf;None
SiP32409;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation, output discharge;Single;2500;1800;1.1;5.5;45;42;10.5;105;Yes;Yes;3.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/SiP32409\SiP32409.pdf;None
SiP32411;Active;1.1 V to 5 V, 62 mΩ, 150 μs rise time, output discharge;Single;150;140;1.1;5.5;66;62;6.7;71;Yes;Yes;2.4;TDFN4;1.2 x 1.6 x 0.5;66710;Datasheet/power-ics/SiP32411\SiP32411.pdf;None
SiP32411;Active;1.1 V to 5 V, 101 mΩ, 150 μs rise time, output discharge;Single;150;140;1.1;5.5;105;101;6.7;71;Yes;Yes;1.8;SC-70-6;2.0 x 2.0 x 0.5;66710;Datasheet/power-ics/SiP32411\SiP32411.pdf;None
SiP32413;Active;Dual switch, 1.1 V to 5.5 V, 150 μs rise time, reversed EN logic;Dual;150;140;1.1;5.5;66;62;6.7;71;No;Yes;2.4;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/SiP32413\SiP32413.pdf;None
SiP32414;Active;1.1 V to 5.5 V, 150 μs rise time, output discharge;Dual;150;140;1.1;5.5;66;62;6.7;71;Yes;Yes;2.4;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/SiP32414\SiP32414.pdf;None
SiP32416;Active;1.1 V to 5.5 V, 2.5 ms rise time, output discharge;Dual;2500;2000;1.1;5.5;66;62;6.7;71;Yes;Yes;2.4;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/SiP32416\SiP32416.pdf;None
SiP32419;Active;6 V to 28 V, 56 mΩ, programmable current limit and slew rate, latch-off on fault;Single;Adjustable;550;6;28;56;56;139;172;No;No;4.5;DFN33-10L;3.0 x 3.0 x 0.9;63939;Datasheet/power-ics/SiP32419\SiP32419.pdf;None
SiP32429;Active;6 V to 28 V, 56 mΩ, programmable current limit and slew rate, auto-retry on fault;Single;Adjustable;550;6;28;56;56;139;172;No;No;4.5;DFN33-10L;3.0 x 3.0 x 0.9;63939;Datasheet/power-ics/SiP32429\SiP32429.pdf;None
SiP32430;Active;6 V to 28 V, 99 mΩ, programmable current limit and slew rate, auto retry on fault;Single;Adjustable;80;6;28;99;99;148;185;No;No;3.2;DFN33-10L;3.0 x 3.0 x 0.9;65223;Datasheet/power-ics/SiP32430\SiP32430.pdf;None
SiP32431DN;Active;1.5 V to 5.5 V, 105 mΩ, 10 pA IQ, bidirectional off isolation, EN active high;Single;140;20;1.5;5.5;350;105;0.000002;0.00004;No;Yes;1.4;TDFN4;1.2 x 1.6 x 0.5;66597;Datasheet/power-ics/SiP32431DN\SiP32431DN.pdf;None
SiP32431DR;Active;1.5 V to 5.5 V, 147 mΩ, 10 pA IQ, bidirectional off isolation, EN active high;Single;140;20;1.5;5.5;395;147;0.000002;0.00004;No;Yes;1.4;SC-70-6;2.0 x 2.0 x 0.5;66597;Datasheet/power-ics/SiP32431DR\SiP32431DR.pdf;None
SiP32432DN;Active;1.5 V to 5.5 V, 105 mΩ, 10 pA IQ, bidirectional off isolation, EN active low;Single;140;20;1.5;5.5;350;105;0.000002;0.00004;No;Yes;1.4;TDFN4;1.2 x 1.6 x 0.5;66597;Datasheet/power-ics/SiP32432DN\SiP32432DN.pdf;None
SiP32432DR;Active;1.5 V to 5.5 V, 147 mΩ, 10 pA IQ, bidirectional off isolation, EN active low;Single;140;20;1.5;5.5;395;147;0.000002;0.00004;No;Yes;1.4;SC-70-6;2.0 x 2.0 x 0.5;66597;Datasheet/power-ics/SiP32432DR\SiP32432DR.pdf;None
SiP32433A;Active;3.5 A, 78 mΩ, 2.8 V to 23 V, programmable OVP and current limit, active reverse blocking, latch-off on fault;Single;Adjustable;190;2.8;28;78;78;180;250;N;Y;3.5;DFN33-10L;3.0 x 3.0 x 0.9;63175;Datasheet/power-ics/SiP32433A\SiP32433A.pdf;None
SiP32433B;Active;3.5 A, 78 mΩ, 2.8 V to 23 V, programmable OVP and current limit, active reverse blocking, auto retry on fault;Single;Adjustable;190;2.8;28;78;78;180;250;N;"3.5 A, 78 mΩ, 2.8 V to 23 V,
progra";3.5;DFN33-10L;3.0 x 3.0 x 0.9;63175;Datasheet/power-ics/SiP32433B\SiP32433B.pdf;None
SIP32434A;Active;6 A, 33 mΩ, 2.8 V to 23 V, programmable OVP and current limit, latch-off on fault;Single;Adjustable;190;2.8;28;33;33;180;250;N;N;6;DFN33-10L;3.0 x 3.0 x 0.9;63147;Datasheet/power-ics/SIP32434A\SIP32434A.pdf;None
SIP32434B;Active;6 A, 33 mΩ, 2.8 V to 23 V,programmable OVP and current limit, auto retry on fault;Single;Adjustable;190;2.8;28;33;33;180;250;N;N;6;DFN33-10L;3.0 x 3.0 x 0.9;63147;Datasheet/power-ics/SIP32434B\SIP32434B.pdf;None
SiP32451;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on / off, output discharge;Single;20;0.4;0.9;2.5;56;54;4;32;Yes;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/SiP32451\SiP32451.pdf;None
SiP32452;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on / off;Single;20;0.4;0.9;2.5;56;54;4;32;No;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/SiP32452\SiP32452.pdf;None
SiP32453;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on and 98 µs turn off delay;Single;20;0.4;0.9;2.5;56;54;4;32;No;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/SiP32453\SiP32453.pdf;None
SiP32454;Active;0.8 V to 2.5 V, 28 mΩ, 1.5 ms rise time, output discharge;Single;1000;600;0.8;2.5;30;28;4;32;Yes;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;62531;Datasheet/power-ics/SiP32454\SiP32454.pdf;None
SiP32455;Active;0.8 V to 2.5 V, 28 mΩ, 1.5 ms rise time;Single;1000;600;0.8;2.5;30;28;4;32;No;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;62531;Datasheet/power-ics/SiP32455\SiP32455.pdf;None
SiP32458;Active;1.5 V to 5.5 V, 20 mΩ, bidirectional off isolation;Single;3000;500;1.5;5.5;30;20;1.5;5.8;No;Yes;3;WCSP6;1.0 x 1.5 x 0.5;63999;Datasheet/power-ics/SiP32458\SiP32458.pdf;None
SiP32459;Active;1.5 V to 5.5 V, 20 mΩ, output discharge;Single;3000;500;1.5;5.5;30;20;1.5;5.8;Yes;No;3;WCSP6;1.0 x 1.5 x 0.5;63999;Datasheet/power-ics/SiP32459\SiP32459.pdf;None
SiP32460;Active;1.2 V to 5.5 V, 50 mΩ, 200 µs rise time, bidirectional off isolation;Single;170;130;1.2;5.5;95;50;1.2;5.5;No;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/SiP32460\SiP32460.pdf;None
SiP32461;Active;1.2 V to 5.5 V, 50 mΩ, 200 µs rise time, bidirectional off isolation, output discharge;Single;170;130;1.2;5.5;95;50;1.2;5.5;Yes;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/SiP32461\SiP32461.pdf;None
SiP32462;Active;1.2 V to 5.5 V, 50 mΩ, 7.5 µs rise time, bidirectional off isolation;Single;7.5;-;1.2;5.5;95;50;1.2;5.5;No;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/SiP32462\SiP32462.pdf;None
SiP32467;Active;1.2 V to 5.5 V, 50 mΩ, EN active low, bidirectional off isolation;Single;170;130;1.2;5.5;95;50;1.8;7.8;No;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;67757;Datasheet/power-ics/SiP32467\SiP32467.pdf;None
SiP32468;Active;1.2 V to 5.5 V, 50 mΩ, EN active low, bidirectional off isolation, output discharge;Single;170;130;1.2;5.5;95;50;1.8;7.8;Yes;Yes;1.2;WCSP4;0.8 x 0.8 x 0.5;67757;Datasheet/power-ics/SiP32468\SiP32468.pdf;None
SiP32475;Active;1.2 V to 5.5 V, 47 mΩ, 200 µs rise time, bidirectional off isolation, output discharge;Single;162;138;1.2;5.5;92;47;1.2;5.5;Yes;Yes;2;µDFN-4L;1.0 x 1.0 x 0.35;75792;Datasheet/power-ics/SiP32475\SiP32475.pdf;None
SiP32481DB;;7 V (D-S), N-Channel Switch in WCSP3;Single;0.03;0.02;0.8;6;17.5;13;0.02;1;No;No;10;WCSP;0.96 x 0.96 x 0.27;75939;Datasheet/power-ics/SiP32481DB\SiP32481DB.pdf;None
SiP32501;Active;0.9 V to 2.5 V, 66 mΩ, 9.8 µs rise time, load switch;Single;9.8;0.05;0.9;2.5;69;66;5;40;No;Yes;1.2;TDFN4;1.2 x 1.6 x 0.5;75595;Datasheet/power-ics/SiP32501\SiP32501.pdf;None
SiP32508;Active;1.1 V to 5.5 V, 44 mΩ, 2.5 ms rise time, bidirectional off isolation;Single;2500;1800;1.1;5.5;47;44;10.5;105;No;Yes;3;TSOT23-6;3.0 x 2.9 x 1.0;62754;Datasheet/power-ics/SiP32508\SiP32508.pdf;None
SiP32509;Active;1.1 V to 5.5 V, 44 mΩ, 2.5 ms rise time, bidirectional off isolation, output discharge;Single;2500;1800;1.1;5.5;47;44;10.5;105;Yes;Yes;3;TSOT23-6;3.0 x 2.9 x 1.0;62754;Datasheet/power-ics/SiP32509\SiP32509.pdf;None
SiP32510;Active;1.2 V to 5.5 V, 44 mΩ, 1.6 ms rise time with bidirectional off isolation, output discharge;Single;1600;400;1.2;5.5;47;44;10.5;105;Yes;Yes;3;TSOT23-6;3.0 x 2.9 x 1.0;63577;Datasheet/power-ics/SiP32510\SiP32510.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Single;140;20;1.8;5.5;230;105;1;2.5;Yes;No;1.2;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282\SiP4282.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Single;140;20;1.8;5.5;230;105;1;2.5;Yes;No;1.2;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282\SiP4282.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Single;140;20;1.5;5.5;350;105;0.00001;0.00005;Yes;No;1.2;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282A\SiP4282A.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Single;140;20;1.5;5.5;350;105;0.00001;0.00005;Yes;No;1.2;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282A\SiP4282A.pdf;None
SiPQ32434A;New;6 A, 33 mΩ, 2.8 V to 22 V eFuse with accurate current limit and programmable OVP;Single;Adjustable;190;2.8;28;33;33;180;250;N;N;6;DFN33 10L wettable flank;3.0 x 3.0 x 0.9;62036;Datasheet/power-ics/SiPQ32434A\SiPQ32434A.pdf;None
SiPQ32434B;New;6 A, 33 mΩ, 2.8 V to 22 V eFuse with accurate current limit and programmable OVP;Single;Adjustable;190;2.8;28;33;33;180;250;N;N;6;DFN33 10L wettable flank;3.0 x 3.0 x 0.9;62036;Datasheet/power-ics/SiPQ32434B\SiPQ32434B.pdf;None
