Part Number;Status;Description;Product Type;VINMin.(V);VINMax.(V);Package;Package Size(W, L, H)(mm);Image path;Datasheet part;3d model part
SiP32205;Active;Precision Threshold Logic Gate Switch;Precision Logic Switch;2;5;WCSP6;0.8 x 1.2 x 0.5;75414;Datasheet/power-ics/SiP32205\SiP32205.pdf;None
SiP31001;Active;Battery Monitor and Protective Discharge IC;Battery and Protection;2.3;5.5;WCSP9;1.25 x 1.25 x 0.6;75408;Datasheet/power-ics/SiP31001\SiP31001.pdf;None
SiP32510;Active;1.2 V to 5.5 V, 44 mΩ, 1.6 ms rise time with bidirectional off isolation, output discharge;Slew rate;1.2;5.5;TSOT23-6;3.0 x 2.9 x 1.0;63577;Datasheet/power-ics/SiP32510\SiP32510.pdf;None
SiP32430;Active;6 V to 28 V, 99 mΩ, programmable current limit and slew rate, auto retry on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;65223;Datasheet/power-ics/SiP32430\SiP32430.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Slew rate;1.8;5.5;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282\SiP4282.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Slew rate;1.8;5.5;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282\SiP4282.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282A\SiP4282A.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Slew rate;1.5;5.5;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/SiP4282A\SiP4282A.pdf;None
SiP32411;Active;1.1 V to 5 V, 62 mΩ, 150 μs rise time, output discharge;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;66710;Datasheet/power-ics/SiP32411\SiP32411.pdf;None
SiP32411;Active;1.1 V to 5 V, 101 mΩ, 150 μs rise time, output discharge;Slew rate;1.1;5.5;SC-70-6;2.0 x 2.0 x 0.5;66710;Datasheet/power-ics/SiP32411\SiP32411.pdf;None
SiP32408;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/SiP32408\SiP32408.pdf;None
SiP32409;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation, output discharge;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/SiP32409\SiP32409.pdf;None
