Part Number;Product Image;Package;Dimensions(mm);Carrier Frequency(kHz);AGC;Transmission DistanceTyp.(m);Detection Threshold /Sensitivity Typ.;Half ViewingAngle(°);Supply CurrentTyp.(mA);Pinning;Recommended for RemoteControl Code;Application;Mounting;Image path;Datasheet part;3d model part
VSOP38336;Enlarge;VSOP;2.0 W x 2.0 H x 0.76 D;36;AGC3;;;;0.35;1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN;MCIR;Remote control;SMD;image/ir-receiver-modules/82748.png;Datasheet\/ir-receiver-modules/VSOP38336\VSOP38336.pdf;Datasheet\/ir-receiver-modules/VSOP38336\VSOP38336.zip
VSOP38338;Enlarge;VSOP;2.0 W x 2.0 H x 0.76 D;38;AGC3;;;;0.35;1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN;Mitsubishi;Remote control;SMD;image/ir-receiver-modules/82748.png;Datasheet\/ir-receiver-modules/VSOP38338\VSOP38338.pdf;Datasheet\/ir-receiver-modules/VSOP38338\VSOP38338.zip
VSOP38338;Enlarge;VSOP;2.0 W x 2.0 H x 0.76 D;38;AGC3;;;;0.35;1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN;RECS-80 Code;Remote control;SMD;image/ir-receiver-modules/82748.png;Datasheet\/ir-receiver-modules/VSOP38338\VSOP38338.pdf;Datasheet\/ir-receiver-modules/VSOP38338\VSOP38338.zip
VSOP38338;Enlarge;VSOP;2.0 W x 2.0 H x 0.76 D;38;AGC3;;;;0.35;1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN;r-map;Remote control;SMD;image/ir-receiver-modules/82748.png;Datasheet\/ir-receiver-modules/VSOP38338\VSOP38338.pdf;Datasheet\/ir-receiver-modules/VSOP38338\VSOP38338.zip
VSOP38338;Enlarge;VSOP;2.0 W x 2.0 H x 0.76 D;38;AGC3;;;;0.35;1, 4, 5 = N.C., 2 = VS, 3 = OUT, 6, 8 = GND, 7 = IN;XMP-1, XMP-2;Remote control;SMD;image/ir-receiver-modules/82748.png;Datasheet\/ir-receiver-modules/VSOP38338\VSOP38338.pdf;Datasheet\/ir-receiver-modules/VSOP38338\VSOP38338.zip
TSDP34138;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38.4;AGC1;30;0.08;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Data transmission;Leaded;image/ir-receiver-modules/82667.png;Datasheet\/ir-receiver-modules/TSDP34138\TSDP34138.pdf;Datasheet\/ir-receiver-modules/TSDP34138\TSDP34138.zip
TSDP34156;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;57.6;AGC1;30;0.08;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Data transmission;Leaded;image/ir-receiver-modules/82667.png;Datasheet\/ir-receiver-modules/TSDP34156\TSDP34156.pdf;Datasheet\/ir-receiver-modules/TSDP34156\TSDP34156.zip
TSDP34338;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38.4;AGC3;30;0.08;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Data transmission;Leaded;image/ir-receiver-modules/82667.png;Datasheet\/ir-receiver-modules/TSDP34338\TSDP34338.pdf;Datasheet\/ir-receiver-modules/TSDP34338\TSDP34338.zip
TSDP34356;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;57.6;AGC3;30;0.08;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Data transmission;Leaded;image/ir-receiver-modules/82667.png;Datasheet\/ir-receiver-modules/TSDP34356\TSDP34356.pdf;Datasheet\/ir-receiver-modules/TSDP34356\TSDP34356.zip
TSMP93100;Enlarge;Mold;5.4 W x 6.35 H x 4.9 D;38;;18;0.2;± 45;0.35;1 = carrier OUT, 2 = GND, 3 = VS;;Repeater;Leaded;image/ir-receiver-modules/82915.png;Datasheet\/ir-receiver-modules/TSMP93100\TSMP93100.pdf;Datasheet\/ir-receiver-modules/TSMP93100\TSMP93100.zip
