Part Number;Product Image;Voltage;Capacitance;Dielectric;Lead Spacing(mm/inch);Lead Style;Packaging;Image path;Datasheet part;3d model part
PC0100WJ25138BH1;Enlarge;14000;250;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100WJ25138BH1\PC0100WJ25138BH1.pdf;Datasheet\capacitors\PC0100WJ25138BH1\PC0100WJ25138BH1.zip
PC0100WJ40138BJ1;Enlarge;14000;400;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100WJ40138BJ1\PC0100WJ40138BJ1.pdf;Datasheet\capacitors\PC0100WJ40138BJ1\PC0100WJ40138BJ1.zip
PC0100WJ50138BJ1;Enlarge;14000;500;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100WJ50138BJ1\PC0100WJ50138BJ1.pdf;Datasheet\capacitors\PC0100WJ50138BJ1\PC0100WJ50138BJ1.zip
PC0100WJ60138BJ1;Enlarge;14000;600;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100WJ60138BJ1\PC0100WJ60138BJ1.pdf;Datasheet\capacitors\PC0100WJ60138BJ1\PC0100WJ60138BJ1.zip
PC0100WJ80138BJ1;Enlarge;14000;800;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0100WJ80138BJ1\PC0100WJ80138BJ1.pdf;Datasheet\capacitors\PC0100WJ80138BJ1\PC0100WJ80138BJ1.zip
PC0140BJ10133BF1;Enlarge;15000;100;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0140BJ10133BF1\PC0140BJ10133BF1.pdf;Datasheet\capacitors\PC0140BJ10133BF1\PC0140BJ10133BF1.zip
PC0140BJ10136BF1;Enlarge;15000;100;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0140BJ10136BF1\PC0140BJ10136BF1.pdf;Datasheet\capacitors\PC0140BJ10136BF1\PC0140BJ10136BF1.zip
PC0140BJ10138BF1;Enlarge;15000;100;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0140BJ10138BF1\PC0140BJ10138BF1.pdf;Datasheet\capacitors\PC0140BJ10138BF1\PC0140BJ10138BF1.zip
PC0140BJ12138BF1;Enlarge;15000;120;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0140BJ12138BF1\PC0140BJ12138BF1.pdf;Datasheet\capacitors\PC0140BJ12138BF1\PC0140BJ12138BF1.zip
PC0140BJ16138BG1;Enlarge;15000;160;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0140BJ16138BG1\PC0140BJ16138BG1.pdf;Datasheet\capacitors\PC0140BJ16138BG1\PC0140BJ16138BG1.zip
PC0140BJ20138BG1;Enlarge;15000;200;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0140BJ20138BG1\PC0140BJ20138BG1.pdf;Datasheet\capacitors\PC0140BJ20138BG1\PC0140BJ20138BG1.zip
PC0140BJ25138BG1;Enlarge;15000;250;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0140BJ25138BG1\PC0140BJ25138BG1.pdf;Datasheet\capacitors\PC0140BJ25138BG1\PC0140BJ25138BG1.zip
PC0140BJ40138BH1;Enlarge;15000;400;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0140BJ40138BH1\PC0140BJ40138BH1.pdf;Datasheet\capacitors\PC0140BJ40138BH1\PC0140BJ40138BH1.zip
PC0140WF30233BJ1;Enlarge;12000;3000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PC0140WF30233BJ1\PC0140WF30233BJ1.pdf;Datasheet\capacitors\PC0140WF30233BJ1\PC0140WF30233BJ1.zip
