Series;Product Image;Description;Technology;Contact Information;Image path;Datasheet part;3d model part
NTCALUG…;Enlarge;Custom Capabilities NTC LUG Ring Tongue;NTC Thermistors;nlr@vishay.com;29161;Datasheet/resistors-fixed/custom-capabilities/NTCALUG…/NTCALUG….pdf;None
Braking Resistor;Enlarge;Customized Stainless Steel Braking Resistor;Metal Plate, Metal Grid;mcbfixedresistors@vishay.com;32529;Datasheet/resistors-fixed/custom-capabilities/Braking Resistor/Braking Resistor.pdf;None
Position Sensors and Variable Resistors;Enlarge;Custom Capabilities Position Sensors and Variable Resistors;Sensors and Potentiometers;sferpottrimmers@vishay.com or sferprecisionpot@vishay.com;51066;Datasheet/resistors-fixed/custom-capabilities/Position Sensors and Variable Resistors/Position Sensors and Variable Resistors.pdf;None
Special Purpose Wirewound Resistors;Enlarge;Custom Capabilities Lead Formed, High Powered, Tab Terminations, Quick Connect Wirewound Resistors;Wirewound;ww2aresistors@vishay.com;30225;Datasheet/resistors-fixed/custom-capabilities/Special Purpose Wirewound Resistors/Special Purpose Wirewound Resistors.pdf;None
CS61;Enlarge;Customer Special Ribwound Resistor (CS61), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, RBEF, RBSF, RBEA, RBSA;Wirewound;vishaymilwaukeeresistor@vishay.com;31856;Datasheet/resistors-fixed/custom-capabilities/CS61/CS61.pdf;None
CS62;Enlarge;Customer Special Roundwire Resistor (CS62), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, RDEF, RDSF, RDEA, RDSA;Wirewound;vishaymilwaukeeresistor@vishay.com;31857;Datasheet/resistors-fixed/custom-capabilities/CS62/CS62.pdf;None
CS63;Enlarge;Customer Special Edgewound Resistor (CS63), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, EDG, EDGF, EDGU;Wirewound;vishaymilwaukeeresistor@vishay.com;31858;Datasheet/resistors-fixed/custom-capabilities/CS63/CS63.pdf;None
CS65;Enlarge;Customer Special Metal Case Resistor (CS65), Wirewound Resistors, Industrial Power, Tubular, Metal Case, MCR, MCRL;Wirewound;vishaymilwaukeeresistor@vishay.com;31859;Datasheet/resistors-fixed/custom-capabilities/CS65/CS65.pdf;None
CS66;Enlarge;Customer Special Oval Resistor (CS66), Wirewound Resistors, Industrial Power, Tubular, Oval, Flat, OVSF;Wirewound;vishaymilwaukeeresistor@vishay.com;31860;Datasheet/resistors-fixed/custom-capabilities/CS66/CS66.pdf;None
CSPR;Enlarge;Customer Special Resistors in Enclosures (CSPR), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, Enclosure, EDG, RD, RB;Wirewound;vishaymilwaukeeresistor@vishay.com;31861;Datasheet/resistors-fixed/custom-capabilities/CSPR/CSPR.pdf;None
CSFR;Enlarge;Customer Special Resistors Mounted on Frames (CSFR), Wirewound Resistors, Industrial Power, Tubular, Fixed, Adjustable, Frame Mounted, EDG, RD, RB;Wirewound;vishaymilwaukeeresistor@vishay.com;31862;Datasheet/resistors-fixed/custom-capabilities/CSFR/CSFR.pdf;None
